Source Name	Material Type	Characteristics[Organism]	Characteristics[Population]	Characteristics[CellType]	Characteristics[Observation]	Characteristics[Individual]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value[INDIVIDUAL]	Factor Value[POPULATION]	Factor Value[SIGNAL]
NA18536	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18536	P-MTAB-13849	NA18536	total_RNA	P-MTAB-13850	NA18536	biotin	P-MTAB-13851	NA18536_2_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18536	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18536	HapMap CHB	HIGH
NA18537	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18537	P-MTAB-13849	NA18537	total_RNA	P-MTAB-13850	NA18537	biotin	P-MTAB-13851	NA18537_1_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18537	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18537	HapMap CHB	HIGH
NA18537	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18537	P-MTAB-13849	NA18537	total_RNA	P-MTAB-13850	NA18537	biotin	P-MTAB-13851	NA18537_2_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18537	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18537	HapMap CHB	HIGH
NA18542	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18542	P-MTAB-13849	NA18542	total_RNA	P-MTAB-13850	NA18542	biotin	P-MTAB-13851	NA18542_1_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18542	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18542	HapMap CHB	HIGH
NA18542	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18542	P-MTAB-13849	NA18542	total_RNA	P-MTAB-13850	NA18542	biotin	P-MTAB-13851	NA18542_2_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18542	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18542	HapMap CHB	HIGH
NA18543	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18543	P-MTAB-13849	NA18543	total_RNA	P-MTAB-13850	NA18543	biotin	P-MTAB-13851	NA18543_1_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18543	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18543	HapMap CHB	HIGH
NA18543	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18543	P-MTAB-13849	NA18543	total_RNA	P-MTAB-13850	NA18543	biotin	P-MTAB-13851	NA18543_2_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18543	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18543	HapMap CHB	HIGH
NA18544	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18544	P-MTAB-13849	NA18544	total_RNA	P-MTAB-13850	NA18544	biotin	P-MTAB-13851	NA18544_1_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18544	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18544	HapMap CHB	HIGH
NA18544	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18544	P-MTAB-13849	NA18544	total_RNA	P-MTAB-13850	NA18544	biotin	P-MTAB-13851	NA18544_2_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18544	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18544	HapMap CHB	HIGH
NA18545	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18545	P-MTAB-13849	NA18545	total_RNA	P-MTAB-13850	NA18545	biotin	P-MTAB-13851	NA18545_1_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18545	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18545	HapMap CHB	HIGH
NA18545	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18545	P-MTAB-13849	NA18545	total_RNA	P-MTAB-13850	NA18545	biotin	P-MTAB-13851	NA18545_2_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18545	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18545	HapMap CHB	HIGH
NA18546	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18546	P-MTAB-13849	NA18546	total_RNA	P-MTAB-13850	NA18546	biotin	P-MTAB-13851	NA18546_1_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18546	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18546	HapMap CHB	HIGH
NA18546	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18546	P-MTAB-13849	NA18546	total_RNA	P-MTAB-13850	NA18546	biotin	P-MTAB-13851	NA18546_2_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18546	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18546	HapMap CHB	HIGH
NA18547	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18547	P-MTAB-13849	NA18547	total_RNA	P-MTAB-13850	NA18547	biotin	P-MTAB-13851	NA18547_1_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18547	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18547	HapMap CHB	HIGH
NA18547	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18547	P-MTAB-13849	NA18547	total_RNA	P-MTAB-13850	NA18547	biotin	P-MTAB-13851	NA18547_2_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18547	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18547	HapMap CHB	HIGH
NA18548	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18548	P-MTAB-13849	NA18548	total_RNA	P-MTAB-13850	NA18548	biotin	P-MTAB-13851	NA18548_1_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18548	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18548	HapMap CHB	HIGH
NA18548	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18548	P-MTAB-13849	NA18548	total_RNA	P-MTAB-13850	NA18548	biotin	P-MTAB-13851	NA18548_2_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18548	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18548	HapMap CHB	HIGH
NA18550	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18550	P-MTAB-13849	NA18550	total_RNA	P-MTAB-13850	NA18550	biotin	P-MTAB-13851	NA18550_1_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18550	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18550	HapMap CHB	HIGH
NA18550	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18550	P-MTAB-13849	NA18550	total_RNA	P-MTAB-13850	NA18550	biotin	P-MTAB-13851	NA18550_2_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18550	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18550	HapMap CHB	HIGH
NA18552	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18552	P-MTAB-13849	NA18552	total_RNA	P-MTAB-13850	NA18552	biotin	P-MTAB-13851	NA18552_1_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18552	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18552	HapMap CHB	HIGH
NA18552	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18552	P-MTAB-13849	NA18552	total_RNA	P-MTAB-13850	NA18552	biotin	P-MTAB-13851	NA18552_2_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18552	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18552	HapMap CHB	HIGH
NA18555	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18555	P-MTAB-13849	NA18555	total_RNA	P-MTAB-13850	NA18555	biotin	P-MTAB-13851	NA18555_1_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18555	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18555	HapMap CHB	HIGH
NA18555	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18555	P-MTAB-13849	NA18555	total_RNA	P-MTAB-13850	NA18555	biotin	P-MTAB-13851	NA18555_2_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18555	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18555	HapMap CHB	HIGH
NA18557	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18557	P-MTAB-13849	NA18557	total_RNA	P-MTAB-13850	NA18557	biotin	P-MTAB-13851	NA18557_1_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18557	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18557	HapMap CHB	HIGH
NA18557	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18557	P-MTAB-13849	NA18557	total_RNA	P-MTAB-13850	NA18557	biotin	P-MTAB-13851	NA18557_2_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18557	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18557	HapMap CHB	HIGH
NA18558	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18558	P-MTAB-13849	NA18558	total_RNA	P-MTAB-13850	NA18558	biotin	P-MTAB-13851	NA18558_1_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18558	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18558	HapMap CHB	HIGH
NA18558	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18558	P-MTAB-13849	NA18558	total_RNA	P-MTAB-13850	NA18558	biotin	P-MTAB-13851	NA18558_2_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18558	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18558	HapMap CHB	HIGH
NA18559	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18559	P-MTAB-13849	NA18559	total_RNA	P-MTAB-13850	NA18559	biotin	P-MTAB-13851	NA18559_1_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18559	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18559	HapMap CHB	HIGH
NA18559	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18559	P-MTAB-13849	NA18559	total_RNA	P-MTAB-13850	NA18559	biotin	P-MTAB-13851	NA18559_2_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18559	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18559	HapMap CHB	HIGH
NA18561	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18561	P-MTAB-13849	NA18561	total_RNA	P-MTAB-13850	NA18561	biotin	P-MTAB-13851	NA18561_1_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18561	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18561	HapMap CHB	HIGH
NA18561	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18561	P-MTAB-13849	NA18561	total_RNA	P-MTAB-13850	NA18561	biotin	P-MTAB-13851	NA18561_2_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18561	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18561	HapMap CHB	HIGH
NA18562	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18562	P-MTAB-13849	NA18562	total_RNA	P-MTAB-13850	NA18562	biotin	P-MTAB-13851	NA18562_1_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18562	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18562	HapMap CHB	HIGH
NA18562	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18562	P-MTAB-13849	NA18562	total_RNA	P-MTAB-13850	NA18562	biotin	P-MTAB-13851	NA18562_2_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18562	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18562	HapMap CHB	HIGH
